Street,Street condition score,Group,Ward
CANTERBURY CLOSE,76.14,Fair (75-89),Haxby & Wigginton Ward
CARMIRES AVENUE,35.89,Poor (<75),Haxby & Wigginton Ward
CASTLE CLOSE,78.67,Fair (75-89),Haxby & Wigginton Ward
CHATSWORTH DRIVE,84.18,Fair (75-89),Haxby & Wigginton Ward
CHERRY ORCHARD,59.23,Poor (<75),Haxby & Wigginton Ward
CHERRY PADDOCK,32.50,Poor (<75),Haxby & Wigginton Ward
CHURCHFIELD DRIVE,94.28,Good (90-94),Haxby & Wigginton Ward
COPPICE CLOSE,39.28,Poor (<75),Haxby & Wigginton Ward
CORBAN LANE,82.95,Fair (75-89),Haxby & Wigginton Ward
CORBAN WAY,75.89,Fair (75-89),Haxby & Wigginton Ward
CORNER CLOSE,94.64,Good (90-94),Haxby & Wigginton Ward
CORNWOOD WAY,84.19,Fair (75-89),Haxby & Wigginton Ward
CROSSMOOR LANE,70.24,Poor (<75),Haxby & Wigginton Ward
CYPRUS GROVE,76.53,Fair (75-89),Haxby & Wigginton Ward
DEALTRY AVENUE,75.84,Fair (75-89),Haxby & Wigginton Ward
DELAMERE CLOSE,56.02,Poor (<75),Haxby & Wigginton Ward
DIKE RAY CLOSE,80.17,Fair (75-89),Haxby & Wigginton Ward
EASTFIELD AVENUE,57.54,Poor (<75),Haxby & Wigginton Ward
ELDER GROVE,42.69,Poor (<75),Haxby & Wigginton Ward
ELM END,15.92,Poor (<75),Haxby & Wigginton Ward
ETON DRIVE,76.21,Fair (75-89),Haxby & Wigginton Ward
FALCON CLOSE,91.94,Good (90-94),Haxby & Wigginton Ward
FARMSTEAD RISE,71.65,Poor (<75),Haxby & Wigginton Ward
FLETCHER COURT,26.10,Poor (<75),Haxby & Wigginton Ward
FOLKS CLOSE,21.28,Poor (<75),Haxby & Wigginton Ward
FOOTPATH BETWEEN 20 AND 22 THE GREENWAY,0.00,Poor (<75),Haxby & Wigginton Ward
FOOTPATH FROM END OF RUDDINGS CLOSE TO WHEATLEY DRIVE,95.76,Excellent (95-100),Haxby & Wigginton Ward
FOOTPATH FROM OPPOSITE 16 OAKEN GROVE TO 33 BIRCH LANE,0.00,Poor (<75),Haxby & Wigginton Ward
FOOTPATH FROM OPPOSITE 78 GREENSHAW DRIVE TO HEADLAND LANE AND END OF MEADOW LANE,25.25,Poor (<75),Haxby & Wigginton Ward
FOREST CLOSE,89.87,Fair (75-89),Haxby & Wigginton Ward
FORESTGATE,79.29,Fair (75-89),Haxby & Wigginton Ward
FOXCROFT,92.49,Good (90-94),Haxby & Wigginton Ward
FURNWOOD,81.68,Fair (75-89),Haxby & Wigginton Ward
GARTHS END,68.58,Poor (<75),Haxby & Wigginton Ward
GATELAND CLOSE,61.79,Poor (<75),Haxby & Wigginton Ward
GLEBE WAY,18.46,Poor (<75),Haxby & Wigginton Ward
GREEN DIKE,51.81,Poor (<75),Haxby & Wigginton Ward
GREENSHAW DRIVE,81.52,Fair (75-89),Haxby & Wigginton Ward
GREYSTONE COURT,72.25,Poor (<75),Haxby & Wigginton Ward
HALL RISE,19.74,Poor (<75),Haxby & Wigginton Ward
HAMBLETON VIEW,62.24,Poor (<75),Haxby & Wigginton Ward
HAWTHORNE AVENUE,10.83,Poor (<75),Haxby & Wigginton Ward
HAXBY MOOR ROAD,47.72,Poor (<75),Haxby & Wigginton Ward
HEADLAND CLOSE,87.69,Fair (75-89),Haxby & Wigginton Ward
HELMSLEY GROVE,88.50,Fair (75-89),Haxby & Wigginton Ward
HESLIN CLOSE,80.03,Fair (75-89),Haxby & Wigginton Ward
HOLLY TREE LANE,81.11,Fair (75-89),Haxby & Wigginton Ward
HORNSEY GARTH,93.18,Good (90-94),Haxby & Wigginton Ward
HUNTERS CLOSE,55.69,Poor (<75),Haxby & Wigginton Ward
KELDALE,98.26,Excellent (95-100),Haxby & Wigginton Ward
KENNEDY DRIVE,10.91,Poor (<75),Haxby & Wigginton Ward
KIRKCROFT,91.40,Good (90-94),Haxby & Wigginton Ward
LANCAR CLOSE,96.44,Excellent (95-100),Haxby & Wigginton Ward
LANDING LANE,95.15,Excellent (95-100),Haxby & Wigginton Ward
LANDSDOWN WAY,79.86,Fair (75-89),Haxby & Wigginton Ward
LARCH WAY,77.66,Fair (75-89),Haxby & Wigginton Ward
LITTLE LANE,64.24,Poor (<75),Haxby & Wigginton Ward
LITTLE MEADOWS,70.78,Poor (<75),Haxby & Wigginton Ward
LOCKEY CROFT,85.81,Fair (75-89),Haxby & Wigginton Ward
LONG FURROW,79.21,Fair (75-89),Haxby & Wigginton Ward
LONGCROFT,83.75,Fair (75-89),Haxby & Wigginton Ward
LOWFIELD DRIVE,16.48,Poor (<75),Haxby & Wigginton Ward
LUND CLOSE,68.23,Poor (<75),Haxby & Wigginton Ward
MALLARD WAY,50.98,Poor (<75),Haxby & Wigginton Ward
MANCROFT,82.26,Fair (75-89),Haxby & Wigginton Ward
MANOR GARTH,96.36,Excellent (95-100),Haxby & Wigginton Ward
MEADOW LANE,74.90,Poor (<75),Haxby & Wigginton Ward
MIDDLE BANKS,84.96,Fair (75-89),Haxby & Wigginton Ward
MILFORD WAY,71.32,Poor (<75),Haxby & Wigginton Ward
MILL LANE,69.49,Poor (<75),Haxby & Wigginton Ward
MINSTER CLOSE,53.19,Poor (<75),Haxby & Wigginton Ward
MINSTER VIEW,90.33,Good (90-94),Haxby & Wigginton Ward
MOOR LANE,89.91,Fair (75-89),Haxby & Wigginton Ward
MOOR LANE,58.12,Poor (<75),Haxby & Wigginton Ward
MULBERRY DRIVE,33.69,Poor (<75),Haxby & Wigginton Ward
NETHERWINDINGS,88.41,Fair (75-89),Haxby & Wigginton Ward
NEW FORGE COURT,99.01,Excellent (95-100),Haxby & Wigginton Ward
NEWDALE,80.94,Fair (75-89),Haxby & Wigginton Ward
NORTH LANE,60.22,Poor (<75),Haxby & Wigginton Ward
NORTH LANE TO THE VILLAGE (EAST),66.87,Poor (<75),Haxby & Wigginton Ward
NORTH LANE TO THE VILLAGE ROAD,89.92,Fair (75-89),Haxby & Wigginton Ward
NORTHCROFT,84.53,Fair (75-89),Haxby & Wigginton Ward
OAK TREE LANE,66.92,Poor (<75),Haxby & Wigginton Ward
OAKEN GROVE,79.03,Fair (75-89),Haxby & Wigginton Ward
OLD DIKE LANDS,85.00,Fair (75-89),Haxby & Wigginton Ward
OLD ORCHARD,42.41,Poor (<75),Haxby & Wigginton Ward
ORCHARD PADDOCK,59.21,Poor (<75),Haxby & Wigginton Ward
PARKLAND WAY,39.32,Poor (<75),Haxby & Wigginton Ward
PINELANDS,83.34,Fair (75-89),Haxby & Wigginton Ward
PLAINVILLE LANE,29.96,Poor (<75),Haxby & Wigginton Ward
PLANTATION WAY,81.98,Fair (75-89),Haxby & Wigginton Ward
PLOUGHLANDS,63.15,Poor (<75),Haxby & Wigginton Ward
PLOUGHMANS LANE,74.26,Poor (<75),Haxby & Wigginton Ward
REDWOOD DRIVE,47.24,Poor (<75),Haxby & Wigginton Ward
RIPLEY GROVE,80.52,Fair (75-89),Haxby & Wigginton Ward
RIVERSDALE,82.75,Fair (75-89),Haxby & Wigginton Ward
ROAD A1237 FROM WIGGINTON ROAD ROUNDABOUT UP TO AND INCLUDING HAXBY ROAD ROUNDABOUT,94.18,Good (90-94),Haxby & Wigginton Ward
ROSECOMB WAY,88.37,Fair (75-89),Haxby & Wigginton Ward
RUDDINGS CLOSE,70.20,Poor (<75),Haxby & Wigginton Ward
RUSHWOOD CLOSE,86.45,Fair (75-89),Haxby & Wigginton Ward
RYE CLOSE,72.73,Poor (<75),Haxby & Wigginton Ward
RYEMOOR ROAD,84.87,Fair (75-89),Haxby & Wigginton Ward
SANDHOLME,33.91,Poor (<75),Haxby & Wigginton Ward
SANDRINGHAM CLOSE,80.72,Fair (75-89),Haxby & Wigginton Ward
SANDY GAP,61.40,Poor (<75),Haxby & Wigginton Ward
SANDYLAND,88.56,Fair (75-89),Haxby & Wigginton Ward
SAXFORD VIEW TO THE VILLAGE,73.13,Poor (<75),Haxby & Wigginton Ward
SAXFORD WAY,78.34,Fair (75-89),Haxby & Wigginton Ward
SCRIVEN GROVE,95.22,Excellent (95-100),Haxby & Wigginton Ward
SOUTH LANE,79.30,Fair (75-89),Haxby & Wigginton Ward
SOUTHGATE,5.70,Poor (<75),Haxby & Wigginton Ward
SPRINGWOOD,89.87,Fair (75-89),Haxby & Wigginton Ward
ST MARYS CLOSE,38.31,Poor (<75),Haxby & Wigginton Ward
ST NICHOLAS WAY,47.38,Poor (<75),Haxby & Wigginton Ward
STABLER CLOSE,22.29,Poor (<75),Haxby & Wigginton Ward
STATION ROAD,87.00,Fair (75-89),Haxby & Wigginton Ward
STEEPLE CLOSE,15.66,Poor (<75),Haxby & Wigginton Ward
STOOP CLOSE,83.23,Fair (75-89),Haxby & Wigginton Ward
SUNNYDALE,73.04,Poor (<75),Haxby & Wigginton Ward
SUTTON ROAD,83.62,Fair (75-89),Haxby & Wigginton Ward
SWARTHDALE,93.96,Good (90-94),Haxby & Wigginton Ward
SYCAMORE CLOSE,88.21,Fair (75-89),Haxby & Wigginton Ward
THE CHESTNUTS,71.09,Poor (<75),Haxby & Wigginton Ward
THE GREENWAY,68.11,Poor (<75),Haxby & Wigginton Ward
THE LANDINGS,100.00,Excellent (95-100),Haxby & Wigginton Ward
THE VILLAGE,57.19,Poor (<75),Haxby & Wigginton Ward
THE VILLAGE,69.51,Poor (<75),Haxby & Wigginton Ward
THE VILLAGE TO SOUTH LANE ROAD,76.10,Fair (75-89),Haxby & Wigginton Ward
THORNHILLS,57.49,Poor (<75),Haxby & Wigginton Ward
TOWNEND GARDENS,82.84,Fair (75-89),Haxby & Wigginton Ward
TOWTHORPE ROAD,94.11,Good (90-94),Haxby & Wigginton Ward
TWIN PIKE WAY,66.44,Poor (<75),Haxby & Wigginton Ward
UPPERCROFT,88.42,Fair (75-89),Haxby & Wigginton Ward
USHER LANE,75.39,Fair (75-89),Haxby & Wigginton Ward
USHER PARK ROAD,94.53,Good (90-94),Haxby & Wigginton Ward
VILLAGE GARTH,91.29,Good (90-94),Haxby & Wigginton Ward
WALMER CARR,84.84,Fair (75-89),Haxby & Wigginton Ward
WALNUT CLOSE,39.27,Poor (<75),Haxby & Wigginton Ward
WANDHILL,81.14,Fair (75-89),Haxby & Wigginton Ward
WATERINGS,76.24,Fair (75-89),Haxby & Wigginton Ward
WEST NOOKS,60.91,Poor (<75),Haxby & Wigginton Ward
WESTFIELD CLOSE,25.17,Poor (<75),Haxby & Wigginton Ward
WESTFIELD GROVE,16.48,Poor (<75),Haxby & Wigginton Ward
WESTFIELD LANE,70.23,Poor (<75),Haxby & Wigginton Ward
WESTFIELD PLACE,16.38,Poor (<75),Haxby & Wigginton Ward
WESTFIELD ROAD,44.29,Poor (<75),Haxby & Wigginton Ward
WHEATFIELD LANE,87.10,Fair (75-89),Haxby & Wigginton Ward
WHEATLEY DRIVE,89.18,Fair (75-89),Haxby & Wigginton Ward
WHITELANDS COTTAGES,73.21,Poor (<75),Haxby & Wigginton Ward
WIGGINTON ROAD,88.96,Fair (75-89),Haxby & Wigginton Ward
WINDMILL WAY,41.13,Poor (<75),Haxby & Wigginton Ward
WINDSOR DRIVE,77.13,Fair (75-89),Haxby & Wigginton Ward
WOODCOCK CLOSE,15.94,Poor (<75),Haxby & Wigginton Ward
WOODLANDS AVENUE,84.50,Fair (75-89),Haxby & Wigginton Ward
WYRE COURT,77.39,Fair (75-89),Haxby & Wigginton Ward
YORK ROAD,71.19,Poor (<75),Haxby & Wigginton Ward
ALBERT CLOSE,95.99,Excellent (95-100),Heworth Ward
APPLEBY PLACE,84.39,Fair (75-89),Heworth Ward
ARRAN PLACE,42.97,Poor (<75),Heworth Ward
ASHVILLE STREET,55.18,Poor (<75),Heworth Ward
ASQUITH AVENUE,72.11,Poor (<75),Heworth Ward
BACK LANE BETWEEN 2 TO 48 ASHVILLE STREET AND 1 TO 71 KITCHENER STREET,34.58,Poor (<75),Heworth Ward
BAD BARGAIN LANE,87.59,Fair (75-89),Heworth Ward
BARFIELD ROAD,55.18,Poor (<75),Heworth Ward
BELLERBY COURT,100.00,Excellent (95-100),Heworth Ward
BELLFARM AVENUE,91.45,Good (90-94),Heworth Ward
BOUNDARY CLOSE,96.79,Excellent (95-100),Heworth Ward
BOWES AVENUE,49.13,Poor (<75),Heworth Ward
BOWLING GREEN COURT,95.71,Excellent (95-100),Heworth Ward
BOWLING GREEN CROFT,92.05,Good (90-94),Heworth Ward
BULL LANE,69.71,Poor (<75),Heworth Ward
BURNHOLME DRIVE,72.90,Poor (<75),Heworth Ward
BURNHOLME GROVE,60.36,Poor (<75),Heworth Ward
BYLAND AVENUE,89.70,Fair (75-89),Heworth Ward
CARTER AVENUE,96.70,Excellent (95-100),Heworth Ward
CHESTNUT AVENUE,55.88,Poor (<75),Heworth Ward
CINDER LANE,29.01,Poor (<75),Heworth Ward
CORNBOROUGH AVENUE,61.72,Poor (<75),Heworth Ward
COSMO AVENUE,68.66,Poor (<75),Heworth Ward
DALES LANE,59.43,Poor (<75),Heworth Ward
DARNBROOK WALK,75.10,Fair (75-89),Heworth Ward
DODSWORTH AVENUE,98.06,Excellent (95-100),Heworth Ward
EAST PARADE,79.06,Fair (75-89),Heworth Ward
EASTBOURNE GROVE,49.06,Poor (<75),Heworth Ward
EASTERN TERRACE,13.03,Poor (<75),Heworth Ward
EIGHTH AVENUE,64.96,Poor (<75),Heworth Ward
ELMFIELD AVENUE,71.98,Poor (<75),Heworth Ward
EMMERSON STREET,64.80,Poor (<75),Heworth Ward
ENNERDALE AVENUE,8.38,Poor (<75),Heworth Ward
FABER STREET,19.31,Poor (<75),Heworth Ward
FIFTH AVENUE,29.44,Poor (<75),Heworth Ward
FIRST AVENUE,71.82,Poor (<75),Heworth Ward
FLEMING AVENUE,27.11,Poor (<75),Heworth Ward
FOREST GROVE,61.51,Poor (<75),Heworth Ward
FOREST WAY,28.74,Poor (<75),Heworth Ward
FOSSWAY,43.72,Poor (<75),Heworth Ward
FOSTON GROVE,61.39,Poor (<75),Heworth Ward
FOURTH AVENUE,77.14,Fair (75-89),Heworth Ward
GERARD AVENUE,89.64,Fair (75-89),Heworth Ward
GILES AVENUE,35.11,Poor (<75),Heworth Ward
GILLAMOOR AVENUE,69.40,Poor (<75),Heworth Ward
GLEN AVENUE,19.38,Poor (<75),Heworth Ward
GLEN ROAD,59.27,Poor (<75),Heworth Ward
HALEYS TERRACE,90.40,Good (90-94),Heworth Ward
HALLFIELD ROAD,40.32,Poor (<75),Heworth Ward
HARCOURT STREET,24.71,Poor (<75),Heworth Ward
HARRISON STREET,48.12,Poor (<75),Heworth Ward
HAWTHORN GROVE,95.71,Excellent (95-100),Heworth Ward
HAWTHORN STREET,72.08,Poor (<75),Heworth Ward
HAXBY ROAD,85.61,Fair (75-89),Heworth Ward
HEALEY GROVE,68.96,Poor (<75),Heworth Ward
HEMPLAND AVENUE,49.79,Poor (<75),Heworth Ward
HEMPLAND LANE,78.05,Fair (75-89),Heworth Ward
HEWORTH,85.65,Fair (75-89),Heworth Ward
HEWORTH GREEN,71.81,Poor (<75),Heworth Ward
HEWORTH HALL DRIVE,77.09,Fair (75-89),Heworth Ward
HEWORTH MEWS,98.28,Excellent (95-100),Heworth Ward
HEWORTH ROAD,70.10,Poor (<75),Heworth Ward
HOLROYD AVENUE,40.87,Poor (<75),Heworth Ward
HUNTINGTON ROAD,91.58,Good (90-94),Heworth Ward
HYRST GROVE,40.97,Poor (<75),Heworth Ward
IRWIN AVENUE,11.78,Poor (<75),Heworth Ward
JAMES STREET,97.37,Excellent (95-100),Heworth Ward
JOHN STREET,94.21,Good (90-94),Heworth Ward
KIRKHAM AVENUE,98.10,Excellent (95-100),Heworth Ward
KITCHENER STREET,60.57,Poor (<75),Heworth Ward
LAYERTHORPE,98.02,Excellent (95-100),Heworth Ward
LILLING AVENUE,95.65,Excellent (95-100),Heworth Ward
LIME AVENUE,57.88,Poor (<75),Heworth Ward
LITTLE HALLFIELD ROAD,42.39,Poor (<75),Heworth Ward
MAIN AVENUE,81.32,Fair (75-89),Heworth Ward
MALTON AVENUE,45.34,Poor (<75),Heworth Ward
MALTON ROAD,92.93,Good (90-94),Heworth Ward
MELROSE CLOSE,35.66,Poor (<75),Heworth Ward
MELROSEGATE,84.79,Fair (75-89),Heworth Ward
MIDDLEHAM AVENUE,78.79,Fair (75-89),Heworth Ward
MILL LANE,95.22,Excellent (95-100),Heworth Ward
MONKTON ROAD,88.37,Fair (75-89),Heworth Ward
MONTROSE AVENUE,82.60,Fair (75-89),Heworth Ward
MORRITT CLOSE,68.29,Poor (<75),Heworth Ward
MUNCASTERGATE,88.07,Fair (75-89),Heworth Ward
NINTH AVENUE,6.87,Poor (<75),Heworth Ward
OAKLAND AVENUE,67.23,Poor (<75),Heworth Ward
OAKLAND DRIVE,37.28,Poor (<75),Heworth Ward
OAKVILLE STREET,28.97,Poor (<75),Heworth Ward
PENYGHENT AVENUE,22.77,Poor (<75),Heworth Ward
PINSENT COURT,88.06,Fair (75-89),Heworth Ward
PLUMER AVENUE,21.89,Poor (<75),Heworth Ward
POTTERY LANE,95.74,Excellent (95-100),Heworth Ward
REDGRAVE CLOSE,85.96,Fair (75-89),Heworth Ward
RICHMOND STREET,70.54,Poor (<75),Heworth Ward
ROCHE AVENUE,87.57,Fair (75-89),Heworth Ward
ROCKINGHAM AVENUE,37.64,Poor (<75),Heworth Ward
SAXON PLACE,61.43,Poor (<75),Heworth Ward
SCROPE AVENUE,68.90,Poor (<75),Heworth Ward
SECOND AVENUE,22.60,Poor (<75),Heworth Ward
SEFTON AVENUE,28.50,Poor (<75),Heworth Ward
SEVENTH AVENUE,28.31,Poor (<75),Heworth Ward
SEYMOUR GROVE,50.00,Poor (<75),Heworth Ward
SIROCCO COURT,82.12,Fair (75-89),Heworth Ward
SIXTH AVENUE,87.92,Fair (75-89),Heworth Ward
ST AELREDS CLOSE,63.27,Poor (<75),Heworth Ward
ST JOHNS WALK,76.63,Fair (75-89),Heworth Ward
ST WULSTAN CLOSE,32.98,Poor (<75),Heworth Ward
STARKEY CRESCENT,97.72,Excellent (95-100),Heworth Ward
STERNE AVENUE,49.09,Poor (<75),Heworth Ward
STOCKTON LANE,75.01,Fair (75-89),Heworth Ward
STURDEE GROVE,77.97,Fair (75-89),Heworth Ward
TANG HALL LANE,67.92,Poor (<75),Heworth Ward
THE CROSSWAY,48.41,Poor (<75),Heworth Ward
THIRD AVENUE,59.95,Poor (<75),Heworth Ward
THORNFIELD AVENUE,38.07,Poor (<75),Heworth Ward
TURNER CLOSE,93.84,Good (90-94),Heworth Ward
VICTORIA WAY,73.54,Poor (<75),Heworth Ward
VILLA GROVE,33.39,Poor (<75),Heworth Ward
WALNEY ROAD,69.21,Poor (<75),Heworth Ward
WATERSIDE GARDENS,92.47,Good (90-94),Heworth Ward
WHERNSIDE AVENUE,39.24,Poor (<75),Heworth Ward
WOLFE AVENUE,14.77,Poor (<75),Heworth Ward
WOOD STREET,61.75,Poor (<75),Heworth Ward
WOODHOUSE GROVE,49.55,Poor (<75),Heworth Ward
WOODSIDE AVENUE,28.12,Poor (<75),Heworth Ward
YEARSLEY CRESCENT,97.77,Excellent (95-100),Heworth Ward
ALGARTH RISE,46.38,Poor (<75),Heworth Without Ward
ALGARTH ROAD,29.29,Poor (<75),Heworth Without Ward
ALLINGTON DRIVE,52.73,Poor (<75),Heworth Without Ward
APPLECROFT ROAD,89.56,Fair (75-89),Heworth Without Ward
ASH CLOSE,59.25,Poor (<75),Heworth Without Ward
ASHLEY PARK CRESCENT,71.74,Poor (<75),Heworth Without Ward
ASHLEY PARK ROAD,72.46,Poor (<75),Heworth Without Ward
BEANS WAY,53.32,Poor (<75),Heworth Without Ward
BECKWITH CLOSE,39.27,Poor (<75),Heworth Without Ward
BRAMLEY GARTH,73.15,Poor (<75),Heworth Without Ward
BURNHOLME AVENUE,87.42,Fair (75-89),Heworth Without Ward
CAEDMON CLOSE,97.24,Excellent (95-100),Heworth Without Ward
CEDAR GROVE,76.61,Fair (75-89),Heworth Without Ward
CHARLES MOOR,90.15,Good (90-94),Heworth Without Ward
CLAYGATE,48.19,Poor (<75),Heworth Without Ward
CRAWLEY WAY,73.05,Poor (<75),Heworth Without Ward
ELMFIELD TERRACE,23.31,Poor (<75),Heworth Without Ward
ELMLANDS GROVE,65.96,Poor (<75),Heworth Without Ward
ELMPARK VALE,49.39,Poor (<75),Heworth Without Ward
ELMPARK VIEW,87.60,Fair (75-89),Heworth Without Ward
ELMPARK WAY,37.65,Poor (<75),Heworth Without Ward
GALTRES AVENUE,67.65,Poor (<75),Heworth Without Ward
GALTRES ROAD,89.54,Fair (75-89),Heworth Without Ward
GREEN MEADOWS,68.11,Poor (<75),Heworth Without Ward
GREENFIELD PARK DRIVE,84.84,Fair (75-89),Heworth Without Ward
GREENSWARD,85.52,Fair (75-89),Heworth Without Ward
HAZEL GARTH,82.94,Fair (75-89),Heworth Without Ward
HEMPLAND DRIVE,63.08,Poor (<75),Heworth Without Ward
HEMPLAND LANE,78.88,Fair (75-89),Heworth Without Ward
HIGH OAKS,25.08,Poor (<75),Heworth Without Ward
HILBECK GROVE,10.61,Poor (<75),Heworth Without Ward
HILL VIEW,53.03,Poor (<75),Heworth Without Ward
KINGS ACRE,55.54,Poor (<75),Heworth Without Ward
LANGDALE AVENUE,45.24,Poor (<75),Heworth Without Ward
LARCHFIELD,9.67,Poor (<75),Heworth Without Ward
LAWNWAY,94.39,Good (90-94),Heworth Without Ward
MALTON ROAD,82.01,Fair (75-89),Heworth Without Ward
MALTON ROAD,89.25,Fair (75-89),Heworth Without Ward
MEADOW WAY,67.48,Poor (<75),Heworth Without Ward
RYECROFT CLOSE,5.45,Poor (<75),Heworth Without Ward
SANDSTOCK ROAD,88.26,Fair (75-89),Heworth Without Ward
SPRINGFIELD CLOSE,43.85,Poor (<75),Heworth Without Ward
SPRINGFIELD WAY,23.55,Poor (<75),Heworth Without Ward
STOCKTON LANE,71.48,Poor (<75),Heworth Without Ward
STRAY GARTH,39.91,Poor (<75),Heworth Without Ward
STRAY ROAD,36.00,Poor (<75),Heworth Without Ward
STRAYLANDS GROVE,63.39,Poor (<75),Heworth Without Ward
THE GLADE,63.44,Poor (<75),Heworth Without Ward
WESTLANDS GROVE,44.86,Poor (<75),Heworth Without Ward
WHITBY AVENUE,85.49,Fair (75-89),Heworth Without Ward
WHITBY DRIVE,78.40,Fair (75-89),Heworth Without Ward
WILLOW GROVE,6.64,Poor (<75),Heworth Without Ward
WOODLANDS GROVE,78.67,Fair (75-89),Heworth Without Ward
ACOMB ROAD,97.81,Excellent (95-100),Holgate Ward
ACOMB ROAD,95.68,Excellent (95-100),Holgate Ward
ALBANY STREET,48.46,Poor (<75),Holgate Ward
ALDBOROUGH WAY,84.10,Fair (75-89),Holgate Ward
ALLANSON GROVE,49.37,Poor (<75),Holgate Ward
AMBERLEY STREET,10.16,Poor (<75),Holgate Ward
ANDERSON GROVE,7.75,Poor (<75),Holgate Ward
ASH STREET,13.29,Poor (<75),Holgate Ward
BACK LANE BETWEEN CARNOT STREET AND LINCOLN STREET AND SALISBURY TERRACE,36.87,Poor (<75),Holgate Ward
BACK LANE BETWEEN LINDLEY STREET AND MURRAY STREET,97.03,Excellent (95-100),Holgate Ward
BACK LANE OF DODGSON TERRACE,83.53,Fair (75-89),Holgate Ward
BALFOUR STREET,45.11,Poor (<75),Holgate Ward
BARBARA GROVE,28.95,Poor (<75),Holgate Ward
BARLOW STREET,39.56,Poor (<75),Holgate Ward
BEECH AVENUE,50.03,Poor (<75),Holgate Ward
BERKELEY TERRACE,51.87,Poor (<75),Holgate Ward
BIRSTWITH DRIVE,14.36,Poor (<75),Holgate Ward
BISMARCK STREET,63.89,Poor (<75),Holgate Ward
BONINGTON COURT,94.15,Good (90-94),Holgate Ward
BOROUGHBRIDGE ROAD,80.08,Fair (75-89),Holgate Ward
BOUTHWAITE DRIVE,82.28,Fair (75-89),Holgate Ward
BRAESIDE GARDENS,35.22,Poor (<75),Holgate Ward
BRIGHT STREET,6.05,Poor (<75),Holgate Ward
BROMLEY STREET,25.92,Poor (<75),Holgate Ward
BRUNEL COURT,92.38,Good (90-94),Holgate Ward
BURNSALL DRIVE,29.54,Poor (<75),Holgate Ward
CAMPBELL AVENUE,13.13,Poor (<75),Holgate Ward
CARNOT STREET,22.67,Poor (<75),Holgate Ward
CAROLINE CLOSE,57.19,Poor (<75),Holgate Ward
CARR LANE,74.78,Poor (<75),Holgate Ward
CARRICK GARDENS,49.62,Poor (<75),Holgate Ward
CARRINGTON AVENUE,0.00,Poor (<75),Holgate Ward
CECILIA PLACE,93.87,Good (90-94),Holgate Ward
CHATSWORTH TERRACE,22.65,Poor (<75),Holgate Ward
CHELWOOD WALK,12.15,Poor (<75),Holgate Ward
CHUDLEIGH ROAD,35.66,Poor (<75),Holgate Ward
CLEVELAND STREET,24.89,Poor (<75),Holgate Ward
CLIVE GROVE,65.38,Poor (<75),Holgate Ward
COLLINGWOOD AVENUE,66.00,Poor (<75),Holgate Ward
DILYS GROVE,14.93,Poor (<75),Holgate Ward
DODGSON TERRACE,49.71,Poor (<75),Holgate Ward
EASTLANDS AVENUE,27.18,Poor (<75),Holgate Ward
FAIRFAX COURT,85.29,Fair (75-89),Holgate Ward
FALCONER STREET,70.19,Poor (<75),Holgate Ward
FIR TREE CLOSE,58.72,Poor (<75),Holgate Ward
FOOTPATH FROM SOWERBY ROAD TO REAR OF NUMBER 21 BIRSTWITH DRIVE,29.85,Poor (<75),Holgate Ward
FORTH STREET,19.88,Poor (<75),Holgate Ward
GARFIELD TERRACE,77.99,Fair (75-89),Holgate Ward
GARLAND STREET,3.29,Poor (<75),Holgate Ward
GARNET TERRACE,55.59,Poor (<75),Holgate Ward
GLEBE AVENUE,45.57,Poor (<75),Holgate Ward
GRANTHAM DRIVE,89.79,Fair (75-89),Holgate Ward
HAMILTON DRIVE,62.10,Poor (<75),Holgate Ward
HAMILTON DRIVE EAST,87.82,Fair (75-89),Holgate Ward
HAMILTON DRIVE WEST,31.06,Poor (<75),Holgate Ward
HAMILTON WAY,83.09,Fair (75-89),Holgate Ward
HANOVER STREET EAST,80.43,Fair (75-89),Holgate Ward
HANOVER STREET WEST,70.94,Poor (<75),Holgate Ward
HARLOW ROAD,81.57,Fair (75-89),Holgate Ward
HEATH CLOSE,17.83,Poor (<75),Holgate Ward
HEBDEN RISE,46.82,Poor (<75),Holgate Ward
HILL STREET,40.61,Poor (<75),Holgate Ward
HILLARY GARTH,68.53,Poor (<75),Holgate Ward
HOB MOOR DRIVE,42.04,Poor (<75),Holgate Ward
HOBGATE,49.92,Poor (<75),Holgate Ward
HOLGATE BRIDGE GARDENS,66.12,Poor (<75),Holgate Ward
HOLGATE LODGE DRIVE,12.60,Poor (<75),Holgate Ward
HOLGATE PARK DRIVE,95.34,Excellent (95-100),Holgate Ward
HOLGATE ROAD,78.96,Fair (75-89),Holgate Ward
HOLLY BANK GROVE,10.10,Poor (<75),Holgate Ward
HOLLY BANK ROAD,97.43,Excellent (95-100),Holgate Ward
HOWE HILL CLOSE,17.04,Poor (<75),Holgate Ward
HOWE HILL ROAD,31.36,Poor (<75),Holgate Ward
INMAN TERRACE,51.64,Poor (<75),Holgate Ward
JAMES BACKHOUSE PLACE,59.61,Poor (<75),Holgate Ward
JENNIFER GROVE,51.44,Poor (<75),Holgate Ward
JUBILEE TERRACE,61.49,Poor (<75),Holgate Ward
KINGSLAND TERRACE,73.56,Poor (<75),Holgate Ward
LADY HAMILTON GARDENS,77.09,Fair (75-89),Holgate Ward
